title,author,isbn,category,language,publish_year,publisher,shelf_code,description,replacement_cost,cover_image,initial_copies
Евгений Онегин,Александр Пушкин,978-5-IMPORT-0001,Художественная литература,Русский,2018,Азбука,B-01,Роман в стихах. Школьная и абонементная программа.,650,,2
Преступление и наказание,Фёдор Достоевский,978-5-IMPORT-0002,Художественная литература,Русский,2019,АСТ,B-02,Психологический роман о Раскольникове.,780,,2
Война и мир,Лев Толстой,978-5-IMPORT-0003,Художественная литература,Русский,2020,Эксмо,B-03,Эпопея о русском обществе эпохи наполеоновских войн.,1200,,1
Анна Каренина,Лев Толстой,978-5-IMPORT-0004,Художественная литература,Русский,2021,АСТ,B-04,Роман о любви и моральном выборе.,950,,2
Герой нашего времени,Михаил Лермонтов,978-5-IMPORT-0005,Художественная литература,Русский,2017,Азбука,B-05,Портрет «лишнего человека» — Печорин.,520,,1
Мёртвые души,Николай Гоголь,978-5-IMPORT-0006,Художественная литература,Русский,2018,АСТ,B-06,Поэма о Чичикове и помещиках.,680,,2
Отцы и дети,Иван Тургенев,978-5-IMPORT-0007,Художественная литература,Русский,2019,Азбука,B-07,Роман о конфликте поколений и нигилизме.,590,,1
Обломов,Иван Гончаров,978-5-IMPORT-0008,Художественная литература,Русский,2020,Эксмо,B-08,История Ильи Обломова и его друзей.,610,,1
Python для начинающих,Марк Лутц,978-5-IMPORT-0009,Учебная литература,Русский,2022,ДМК Пресс,A-10,Базовый курс языка Python для студентов.,1400,,3
Изучаем JavaScript,Эрик и Элизabeth Фриemen,978-5-IMPORT-0010,Учебная литература,Русский,2021,Питер,A-11,Head First: основы JavaScript и DOM.,1100,,2
SQL для простых смертных,Мартин Граuber,978-5-IMPORT-0011,Учебная литература,Русский,2020,Диалектика,A-12,Введение в реляционные базы данных.,890,,2
Совершенный код,Стив Макконнелл,978-5-IMPORT-0012,Учебная литература,Русский,2019,Русская редакция,A-13,Практики проектирования и качества кода.,1600,,1
Алгоритмы. Построение и анализ,Томas Корmen,978-5-IMPORT-0013,Учебная литература,Английский,2013,MIT Press,A-14,Классический учебник CLRS.,2200,,1
Рефакторинг,Мартин Фаулер,978-5-IMPORT-0014,Учебная литература,Английский,2019,Addison-Wesley,A-15,Улучшение существующего кода без изменения поведения.,1900,,1
Краткая история человечества,Ювал Ной Харари,978-5-IMPORT-0015,Научно-популярная литература,Русский,2021,Sinbad,C-10,От каменного века до XXI века.,850,,2
Космос,Кarl Sagan,978-5-IMPORT-0016,Научно-популярная литература,Русский,2018,Амфора,C-11,Путешествие по Вселенной для широкой аудитории.,720,,2
Происхождение видов,Charles Darwin,978-5-IMPORT-0017,Научно-популярная литература,Русский,2017,АСТ,C-12,Основополагающий труд по эволюции.,980,,1
Физика для будущего президента,Richard Muller,978-5-IMPORT-0018,Научно-популярная литература,Русский,2020,БИНОМ,C-13,Энергия климат атом ядерная физика.,760,,2
Краткий курс по теории относительности,Albert Einstein,978-5-IMPORT-0019,Научно-популярная литература,Русский,2016,Наука,C-14,Популярное изложение СТО.,540,,1
Структура научных революций,Thomas Kuhn,978-5-IMPORT-0020,Научно-популярная литература,Русский,2019,АСТ,C-15,О смене парадигм в науке.,620,,1
